white,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
0,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
0,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
0,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
0,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
1,5.7,0.27,0.32,1.2,0.046,20,155,0.9934,3.8,0.41,10.2,6
1,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
1,4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
0,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7
0,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
1,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
1,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7
1,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6
0,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
1,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
1,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6
1,5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
0,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
0,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
0,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
0,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
0,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
0,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
0,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
0,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
1,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
0,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
0,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
0,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
0,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
0,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
1,5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6
0,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
1,5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
1,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
0,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
0,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
0,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
0,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
0,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
0,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
1,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5
0,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
0,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
0,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
0,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
1,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6
1,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
1,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
0,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
1,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
1,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7
1,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
1,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
1,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
0,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
1,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
0,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
0,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
0,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5
0,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
0,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
0,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
0,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
0,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
0,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
0,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
0,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6
1,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
1,6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
0,6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
0,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6
0,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6
1,6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,6
0,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4
0,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
1,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
1,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
0,6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
1,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
1,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
0,7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6
0,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6
0,6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6
1,6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
0,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
0,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
0,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
0,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
0,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
1,6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
0,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
0,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
0,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6
1,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
1,6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
0,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
0,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
1,6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
0,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
0,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
0,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
0,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
0,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4
0,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
0,6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6
0,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
0,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
0,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
1,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
0,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
1,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
1,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
0,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
0,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
0,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
0,6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
0,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
1,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6
